,Song Name,Artist,Weekly Streams,Week of
10743,Wonderful Christmastime - Remastered 2011 / Edited Version,Paul McCartney,1652605,12/7/2017
10744,Look At Me!,XXXTENTACION,1636816,12/7/2017
10745,Hallelujah,Pentatonix,1630658,12/7/2017
10746,Pray,Sam Smith,1628431,12/7/2017
10747,Downtown,Anitta,1625418,12/7/2017
10748,Get It Right ,Diplo,1618084,12/7/2017
10749,Glorious ,Macklemore,1616088,12/7/2017
10750,do re mi,blackbear,1597847,12/7/2017
10751,This Is Why We Can’t Have Nice Things,Taylor Swift,1595842,12/7/2017
10752,Lonely Together ,Avicii,1588456,12/7/2017
10753,Wild Thoughts ,DJ Khaled,1586565,12/7/2017
10754,No Option,Post Malone,1586157,12/7/2017
10755,First Day Out,Tee Grizzley,1563535,12/7/2017
10756,New Year’s Day,Taylor Swift,1554797,12/7/2017
10757,Come Through and Chill,Miguel,1552391,12/7/2017
10758,PRBLMS,6LACK,1549978,12/7/2017
10759,Starboy,The Weeknd,1537243,12/7/2017
10760,Anywhere,Rita Ora,1536855,12/7/2017
10761,Dress,Taylor Swift,1535187,12/7/2017
10762,Little Saint Nick - 1991 Remix,The Beach Boys,1531231,12/7/2017
10763,Happy Xmas (War Is Over) - Remastered,John Lennon,1530267,12/7/2017
10764,King Of My Heart,Taylor Swift,1515508,12/7/2017
10765,Silver Bells,Dean Martin,1515124,12/7/2017
10766,Pineapple Skies,Miguel,1509222,12/7/2017
10767,Icon,Jaden,1498002,12/7/2017
10768,Feels Great ,Cheat Codes,1494153,12/7/2017
10769,Caroline,Amine,1492828,12/7/2017
10770,There's Nothing Holdin' Me Back,Shawn Mendes,1491870,12/7/2017
10771,Die For You,The Weeknd,1485202,12/7/2017
10772,Myself,NAV,1485142,12/7/2017
10773,Boss,Lil Pump,1479681,12/7/2017
10774,So It Goes...,Taylor Swift,1473009,12/7/2017
10775,Unforgettable,Thomas Rhett,1472147,12/7/2017
10776,4:00 AM,2 Chainz,1471816,12/7/2017
10777,Something Just Like This,"The Chainsmokers, Coldplay",1470793,12/7/2017
10778,Lemon,N.E.R.D,1470041,12/7/2017
10779,Broccoli ,DRAM,1465789,12/7/2017
10780,Dancing With Our Hands Tied,Taylor Swift,1465386,12/7/2017
10781,"Mary, Did You Know?",Pentatonix,1463008,12/7/2017
10782,Closer,The Chainsmokers,1460929,12/7/2017
10783,New,Daya,1456848,12/7/2017
10784,Fake Love,Drake,1455640,12/7/2017
10785,Swang,Rae Sremmurd,1445845,12/7/2017
10786,Rap Saved Me,21 Savage,1444668,12/7/2017
10787,do re mi ,blackbear,1440641,12/7/2017
10788,Exchange,Bryson Tiller,1440337,12/7/2017
10789,Don't,Bryson Tiller,1438766,12/7/2017
10790,X ,21 Savage,1427635,12/7/2017
10791,Ex Calling,6LACK,1414610,12/7/2017
10792,Sensualidad,Bad Bunny,1406002,12/7/2017
10793,Se Preparó,Ozuna,1402677,12/7/2017
10794,Patek Water,Future,1401986,12/7/2017
10795,Perplexing Pegasus,Rae Sremmurd,1400954,12/7/2017
10796,Money Longer,Lil Uzi Vert,1399741,12/7/2017
10797,What They Want,Russ,1396534,12/7/2017
10798,Pull Up N Wreck,"Big Sean, Metro Boomin",1394178,12/7/2017
10799,God's Plan,Drake,20829362,3/8/2018
10800,Psycho ,Post Malone,16372667,3/8/2018
10801,Look Alive ,BlocBoy JB,11287515,3/8/2018
10802,SAD!,XXXTENTACION,9968458,3/8/2018
10803,All The Stars,"Kendrick Lamar, SZA",9885457,3/8/2018
10804,Stir Fry,Migos,8209517,3/8/2018
10805,Mine,Bazzi,8099854,3/8/2018
10806,The Middle,"Zedd, Maren Morris, Grey",7664089,3/8/2018
10807,Pray For Me ,"The Weeknd, Kendrick Lamar",7344979,3/8/2018
10808,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake",7319921,3/8/2018
10809,Love Lies,"Khalid, Normani",6893523,3/8/2018
10810,rockstar,Post Malone,6577726,3/8/2018
10811,I Fall Apart,Post Malone,6527937,3/8/2018
10812,Ric Flair Drip,"Offset, Metro Boomin",6473521,3/8/2018
10813,Everyday,"Logic, Marshmello",5843412,3/8/2018
10814,Meant to Be,"Bebe Rexha, Florida Georgia Line",5209637,3/8/2018
10815,FRIENDS,"Marshmello, Anne",5158569,3/8/2018
10816,Narcos,Migos,4962760,3/8/2018
10817,changes,XXXTENTACION,4768170,3/8/2018
10818,44 More,Logic,4716223,3/8/2018
10819,Finesse - Remix; feat. Cardi B,"Bruno Mars, Cardi B",4650522,3/8/2018
10820,Never Be the Same,Camila Cabello,4441176,3/8/2018
10821,LOVE.,Kendrick Lamar,4416826,3/8/2018
10822,IDGAF,Dua Lipa,4189086,3/8/2018
10823,Sky Walker ,Miguel,4166751,3/8/2018
10824,Betrayed,Lil Xan,4165842,3/8/2018
10825,Top Off ,DJ Khaled,4151246,3/8/2018
10826,PICK IT UP ,Famous Dex,4102787,3/8/2018
10827,XO TOUR Llif3,Lil Uzi Vert,4092520,3/8/2018
10828,Bounce Out With That,YBN Nahmir,4017788,3/8/2018
10829,New Freezer ,Rich The Kid,4007559,3/8/2018
10830,Nowadays ,Lil Skies,3978896,3/8/2018
10831,Havana ,Camila Cabello,3850559,3/8/2018
10832,Candy Paint,Post Malone,3847763,3/8/2018
10833,Powerglide,"Rae Sremmurd, Juicy J",3777817,3/8/2018
10834,These Days ,Rudimental,3777416,3/8/2018
10835,Congratulations,Post Malone,3761824,3/8/2018
10836,X ,"ScHoolboy Q, 2 Chainz, Saudi",3718156,3/8/2018
10837,No Limit,G-Eazy,3563683,3/8/2018
10838,Let Me Go,"Hailee Steinfeld, Alesso",3535377,3/8/2018
10839,HUMBLE.,Kendrick Lamar,3518940,3/8/2018
10840,Let You Down,NF,3516213,3/8/2018
10841,Bank Account,21 Savage,3484844,3/8/2018
10842,Young Dumb & Broke,Khalid,3442599,3/8/2018
10843,Heaven,Julia Michaels,3438708,3/8/2018
10844,Plain Jane,A$AP Ferg,3423259,3/8/2018
10845,Him & I ,"G-Eazy, Halsey",3411892,3/8/2018
10846,MotorSport,Migos,3392286,3/8/2018
10847,Bartier Cardi ,Cardi B,3349297,3/8/2018
10848,Paramedic!,"SOB, RBE",3269722,3/8/2018
10849,Jocelyn Flores,XXXTENTACION,3229466,3/8/2018
10850,Plug Walk,Rich The Kid,3087430,3/8/2018
10851,The Ways,"Khalid, Swae Lee",3074458,3/8/2018
10852,Walk It Talk It,Migos,3064428,3/8/2018
10853,Red Roses ,Lil Skies,2992001,3/8/2018
10854,Say Something,Justin Timberlake,2961673,3/8/2018
10855,Roll In Peace ,Kodak Black,2885521,3/8/2018
10856,Codeine Dreaming ,Kodak Black,2876883,3/8/2018
10857,Perfect,Ed Sheeran,2875936,3/8/2018
10858,Location,Khalid,2776486,3/8/2018
10859,Fuck Love ,XXXTENTACION,2752058,3/8/2018
10860,New Rules,Dua Lipa,2750555,3/8/2018
10861,Capital Letters,Hailee Steinfeld,2744817,3/8/2018
10862,River ,Eminem,2726563,3/8/2018
10863,1-800-273-8255,Logic,2723878,3/8/2018
10864,I Get The Bag ,Gucci Mane,2714597,3/8/2018
10865,goosebumps,Travis Scott,2649790,3/8/2018
10866,Thunder,Imagine Dragons,2598207,3/8/2018
10867,BUTTERFLY EFFECT,Travis Scott,2574662,3/8/2018
10868,You Owe Me,The Chainsmokers,2559512,3/8/2018
10869,Amorfoda,Bad Bunny,2524933,3/8/2018
10870,BILLY,6ix9ine,2524411,3/8/2018
10871,Dura,Daddy Yankee,2494889,3/8/2018
10872,Silence,Marshmello,2489053,3/8/2018
10873,Wolves,Selena Gomez,2456495,3/8/2018
10874,This Is Me,Keala Settle,2449145,3/8/2018
10875,KEKE,6ix9ine,2435379,3/8/2018
10876,Bodak Yellow,Cardi B,2427818,3/8/2018
10877,Unforgettable,French Montana,2421377,3/8/2018
10878,The Way Life Goes ,Lil Uzi Vert,2372045,3/8/2018
10879,Big Shot,"Kendrick Lamar, Travis Scott",2371965,3/8/2018
10880,She Loves Control,Camila Cabello,2370941,3/8/2018
10881,Dark Knight Dummo (Feat. Travis Scott),Trippie Redd,2341875,3/8/2018
10882,Beautiful,Bazzi,2335110,3/8/2018
10883,Wanted You ,NAV,2290527,3/8/2018
10884,GUMMO,6ix9ine,2289141,3/8/2018
10885,Rubbin Off The Paint,YBN Nahmir,2276178,3/8/2018
10886,Go Flex,Post Malone,2273652,3/8/2018
10887,Too Good At Goodbyes,Sam Smith,2262887,3/8/2018
10888,Sick Boy,The Chainsmokers,2255555,3/8/2018
10889,Sorry Not Sorry,Demi Lovato,2196274,3/8/2018
10890,X,"Nicky Jam, J Balvin",2195026,3/8/2018
10891,Drowning ,A Boogie Wit da Hoodie,2182633,3/8/2018
10892,DNA.,Kendrick Lamar,2167672,3/8/2018
10893,Gucci Gang,Lil Pump,2157881,3/8/2018
10894,Redbone,Childish Gambino,2153274,3/8/2018
10895,Want You Back,5 Seconds of Summer,2151192,3/8/2018
10896,Marry Me,Thomas Rhett,2116776,3/8/2018
10897,RONDO,6ix9ine,2089227,3/8/2018
10898,Solitaire ,Gucci Mane,2082288,3/8/2018
10899,Everybody Dies In Their Nightmares,XXXTENTACION,2081393,3/8/2018
10900,Believer,Imagine Dragons,2058027,3/8/2018
10901,Bad At Love,Halsey,2040215,3/8/2018
10902,Shape of You,Ed Sheeran,2036057,3/8/2018
10903,Love Galore ,SZA,2030212,3/8/2018
10904,For You,"Liam Payne, Rita Ora",2023433,3/8/2018
10905,Sauce It Up,Lil Uzi Vert,2020601,3/8/2018
10906,Notice Me,Migos,1996476,3/8/2018
10907,Outside Today,YoungBoy Never Broke Again,1983772,3/8/2018
10908,Slippery ,Migos,1983382,3/8/2018
10909,White Iverson,Post Malone,1978095,3/8/2018
10910,Wait ,Maroon 5,1929333,3/8/2018
10911,Rewrite The Stars,"Zac Efron, Zendaya",1929055,3/8/2018
10912,Feel It Still,Portugal. The Man,1863956,3/8/2018
10913,Losin Control,Russ,1852261,3/8/2018
10914,Heaven,Kane Brown,1824593,3/8/2018
10915,Getting Over You,Lauv,1795366,3/8/2018
10916,Miss You ,"Cashmere Cat, Major Lazer, Tory Lanez, Major Lazer, Tory Lanez",1793708,3/8/2018
10917,What Lovers Do ,Maroon 5,1764427,3/8/2018
10918,Say You Won't Let Go,James Arthur,1764073,3/8/2018
10919,B.I.D,Tory Lanez,1762362,3/8/2018
10920,Body Like A Back Road,Sam Hunt,1759510,3/8/2018
10921,Pieces ,Tory Lanez,1745031,3/8/2018
10922,Passionfruit,Drake,1741763,3/8/2018
10923,Sober Up,AJR,1729082,3/8/2018
10924,You Make It Easy,Jason Aldean,1724121,3/8/2018
10925,The Weekend - Funk Wav Remix,SZA,1716407,3/8/2018
10926,Like I Do,David Guetta,1711819,3/8/2018
10927,Mask Off,Future,1692669,3/8/2018
10928,No Role Modelz,J. Cole,1682371,3/8/2018
10929,Tell Me You Love Me,Demi Lovato,1667960,3/8/2018
10930,I Like Me Better,Lauv,1667165,3/8/2018
10931,It's A Vibe,2 Chainz,1652149,3/8/2018
10932,iSpy ,KYLE,1649584,3/8/2018
10933,Rake It Up,Yo Gotti,1644228,3/8/2018
10934,Magnolia,Playboi Carti,1641226,3/8/2018
10935,Relationship ,Young Thug,1615455,3/8/2018
10936,Bounce Back,Big Sean,1606185,3/8/2018
10937,One Dance,Drake,1600985,3/8/2018
10938,Hurt To Look ,Swae Lee,1596479,3/8/2018
10939,Ghostface Killers,21 Savage,1586140,3/8/2018
10940,Lust,Lil Skies,1585653,3/8/2018
10941,What Ifs,Kane Brown,1567815,3/8/2018
10942,Opps ,"Vince Staples, Yugen Blakrok, Yugen Blakrok",1559265,3/8/2018
10943,Crew ,GoldLink,1555413,3/8/2018
10944,Shooters,Tory Lanez,1549845,3/8/2018
10945,In Case You Didn't Know,Brett Young,1542243,3/8/2018
10946,Unforgettable,Thomas Rhett,1542199,3/8/2018
10947,That's What I Like,Bruno Mars,1529709,3/8/2018
10948,Look At Me!,XXXTENTACION,1527559,3/8/2018
10949,The Weekend,SZA,1523467,3/8/2018
10950,Love Scars,Trippie Redd,1516289,3/8/2018
10951,Cocky ,A$AP Rocky,1515249,3/8/2018
10952,How Long,Charlie Puth,1508772,3/8/2018
10953,BBO (Bad Bitches Only),Migos,1504262,3/8/2018
10954,Ice Tray,Quality Control,1495024,3/8/2018
10955,Wait,Maroon 5,1486093,3/8/2018
10956,do re mi,blackbear,1483589,3/8/2018
10957,Yours,Russell Dickerson,1478730,3/8/2018
10958,Best Part ,H.E.R.,1472075,3/8/2018
10959,Strip That Down,Liam Payne,1466387,3/8/2018
10960,The Race,Tay-K,1462329,3/8/2018
10961,Stranger Things,Joyner Lucas,1459388,3/8/2018
10962,Fake Love,Drake,1458759,3/8/2018
10963,Sensualidad,Bad Bunny,1449347,3/8/2018
10964,Tunnel Vision,Kodak Black,1446693,3/8/2018
10965,KOODA,6ix9ine,1446449,3/8/2018
10966,Attention,Charlie Puth,1444283,3/8/2018
10967,I'm the One ,DJ Khaled,1437178,3/8/2018
10968,No Option,Post Malone,1435969,3/8/2018
10969,I Miss You ,Clean Bandit,1433919,3/8/2018
10970,All on Me,Devin Dawson,1433432,3/8/2018
10971,Get You ,Daniel Caesar,1428569,3/8/2018
10972,Closer,The Chainsmokers,1421867,3/8/2018
10973,Transportin',Kodak Black,1419815,3/8/2018
10974,Exchange,Bryson Tiller,1412335,3/8/2018
10975,Black Panther,Kendrick Lamar,1408288,3/8/2018
10976,Heartache On The Dance Floor,Jon Pardi,1407632,3/8/2018
10977,Singles You Up,Jordan Davis,1396858,3/8/2018
10978,Saved,Khalid,1396382,3/8/2018
10979,Mad Love,Sean Paul,1390414,3/8/2018
10980,Despacito,Luis Fonsi,1388344,3/8/2018
10981,Issues,Julia Michaels,1387248,3/8/2018
10982,Don't,Bryson Tiller,1381394,3/8/2018
10983,Do Right,Glades,1375165,3/8/2018
10984,Échame La Culpa,Luis Fonsi,1368719,3/8/2018
10985,LOYALTY.,Kendrick Lamar,1365711,3/8/2018
10986,Starboy,The Weeknd,1363314,3/8/2018
10987,Bad and Boujee ,Migos,1360565,3/8/2018
10988,PRBLMS,6LACK,1357323,3/8/2018
10989,Criminal,Natti Natasha,1357305,3/8/2018
10990,Put Me Back Together ,Cheat Codes,1352808,3/8/2018
10991,When It Rains It Pours,Luke Combs,1350641,3/8/2018
10992,Saint,Huncho Jack,1349972,3/8/2018
10993,Praying,Kesha,1348763,3/8/2018
10994,Written in the Sand,Old Dominion,1344841,3/8/2018
10995,The Greatest Show,Hugh Jackman,1342605,3/8/2018
10996,wokeuplikethis*,Playboi Carti,1341541,3/8/2018
10997,I Am,Jorja Smith,1334400,3/8/2018
10998,Poles 1469,Trippie Redd,1330718,3/8/2018
10999,"thank u, next",Ariana Grande,22461370,11/8/2018
11000,Mo Bamba,Sheck Wes,11193239,11/8/2018
11001,SICKO MODE,Travis Scott,9906226,11/8/2018
11002,ZEZE ,Kodak Black,9748682,11/8/2018
11003,Sunflower,"Post Malone, Swae Lee",9376246,11/8/2018
11004,Drip Too Hard,Lil Baby,9000514,11/8/2018
11005,Without Me,Halsey,8759325,11/8/2018
11006,Arms Around You ,XXXTENTACION,6880628,11/8/2018
11007,Lucid Dreams,Juice WRLD,6857720,11/8/2018
11008,Taki Taki ,"DJ Snake, Selena Gomez, Ozuna, Cardi B, Selena Gomez, Ozuna, Cardi B",6676190,11/8/2018
11009,10 Freaky Girls ,"Metro Boomin, 21 Savage, 21 Savage",6572352,11/8/2018
11010,Happier,"Marshmello, Bastille",6422574,11/8/2018
11011,MIA ,Bad Bunny,6247512,11/8/2018
11012,when the party's over,Billie Eilish,6223972,11/8/2018
11013,Don't Come Out The House ,"Metro Boomin, 21 Savage, 21 Savage",5885731,11/8/2018
11014,Wake Up in the Sky,Gucci Mane,5870891,11/8/2018
11015,Better,Khalid,5793484,11/8/2018
11016,SAD!,XXXTENTACION,5740278,11/8/2018
11017,Moonlight,XXXTENTACION,5331531,11/8/2018
11018,Space Cadet ,Metro Boomin,5280511,11/8/2018
11019,Fine China,Future,5196717,11/8/2018
11020,Better Now,Post Malone,5161955,11/8/2018
11021,Nonstop,Drake,5013292,11/8/2018
11022,Never Recover,Lil Baby,4994229,11/8/2018
11023,Leave Me Alone,Flipp Dinero,4980922,11/8/2018
11024,Money,Cardi B,4756659,11/8/2018
11025,Falling Down,"Lil Peep, XXXTENTACION",4682790,11/8/2018
11026,FEFE ,6ix9ine,4604314,11/8/2018
11027,Overdue ,"Metro Boomin, Travis Scott, Travis Scott",4528743,11/8/2018
11028,Shallow,Lady Gaga,4290119,11/8/2018
11029,Noticed,Lil Mosey,4284395,11/8/2018
11030,No More ,Metro Boomin,4270269,11/8/2018
11031,Taste ,Tyga,4242512,11/8/2018
11032,Yes Indeed,"Lil Baby, Drake",4154098,11/8/2018
11033,Jocelyn Flores,XXXTENTACION,4106056,11/8/2018
11034,I Love It,Kanye West,4091276,11/8/2018
11035,Dreamcatcher ,Metro Boomin,3953109,11/8/2018
11036,Eastside,"benny blanco, Halsey, Khalid",3887809,11/8/2018
11037,In My Feelings,Drake,3658804,11/8/2018
11038,REEL IT IN,Aminé,3648099,11/8/2018
11039,No Stylist,French Montana,3643279,11/8/2018
11040,breathin,Ariana Grande,3609729,11/8/2018
11041,Fuck Love ,XXXTENTACION,3597917,11/8/2018
11042,New Patek,Lil Uzi Vert,3559424,11/8/2018
11043,I Like It,Cardi B,3532000,11/8/2018
11044,Last Memory,Takeoff,3509532,11/8/2018
11045,All Girls Are The Same,Juice WRLD,3462976,11/8/2018
11046,Topanga,Trippie Redd,3396588,11/8/2018
11047,Ruin My Life,Zara Larsson,3392946,11/8/2018
11048,changes,XXXTENTACION,3372628,11/8/2018
11049,Bohemian Rhapsody - Remastered 2011,Queen,3367322,11/8/2018
11050,God is a woman,Ariana Grande,3327659,11/8/2018
11051,Lean Wit Me,Juice WRLD,3261722,11/8/2018
11052,BIG BANK ,YG,3260412,11/8/2018
11053,rockstar ,Post Malone,3190091,11/8/2018
11054,Psycho ,Post Malone,3141642,11/8/2018
11055,I Fall Apart,Post Malone,3092639,11/8/2018
11056,Mona Lisa ,Lil Wayne,3087079,11/8/2018
11057,lovely ,"Billie Eilish, Khalid",3073779,11/8/2018
11058,Casper,Takeoff,3064086,11/8/2018
11059,Sweet but Psycho,Ava Max,3001808,11/8/2018
11060,SLOW DANCING IN THE DARK,Joji,2998032,11/8/2018
11061,Lucky You ,Eminem,2990877,11/8/2018
11062,Youngblood,5 Seconds of Summer,2980326,11/8/2018
11063,Suncity ,Khalid,2950806,11/8/2018
11064,WORKIN ME,Quavo,2950173,11/8/2018
11065,Trip,Ella Mai,2949972,11/8/2018
11066,God's Plan,Drake,2944338,11/8/2018
11067,High Hopes,Panic! At The Disco,2941403,11/8/2018
11068,Woman Like Me ,Little Mix,2922889,11/8/2018
11069,no tears left to cry,Ariana Grande,2838285,11/8/2018
11070,Always Remember Us This Way,Lady Gaga,2775239,11/8/2018
11071,Up To Something ,Metro Boomin,2766436,11/8/2018
11072,Lesbian ,Metro Boomin,2668865,11/8/2018
11073,Hard Work Pays Off,Future,2661286,11/8/2018
11074,Uproar,Lil Wayne,2647928,11/8/2018
11075,STOOPID,6ix9ine,2646059,11/8/2018
11076,Look Alive ,BlocBoy JB,2638750,11/8/2018
11077,Natural,Imagine Dragons,2637805,11/8/2018
11078,Everybody Dies In Their Nightmares,XXXTENTACION,2634832,11/8/2018
11079,STARGAZING,Travis Scott,2621359,11/8/2018
11080,Beautiful ,Bazzi,2568910,11/8/2018
11081,This Feeling ,The Chainsmokers,2560605,11/8/2018
11082,Girls Like You ,Maroon 5,2555975,11/8/2018
11083,Ric Flair Drip,"Offset, Metro Boomin",2532646,11/8/2018
11084,10AM/Save The World ,Metro Boomin,2531045,11/8/2018
11085,YOSEMITE,Travis Scott,2520309,11/8/2018
11086,Close To Me,"Ellie Goulding, Diplo",2501084,11/8/2018
11087,Borrowed Love ,Metro Boomin,2495499,11/8/2018
11088,Kiss and Make Up,Dua Lipa,2444786,11/8/2018
11089,Nice For What,Drake,2427616,11/8/2018
11090,Dip,Tyga,2424370,11/8/2018
11091,Love Lies,"Khalid, Normani",2410528,11/8/2018
11092,XO TOUR Llif3,Lil Uzi Vert,2376379,11/8/2018
11093,Wasted ,Juice WRLD,2362469,11/8/2018
11094,I Found You ,"benny blanco, Calvin Harris, Calvin Harris",2340708,11/8/2018
11095,Only You ,Metro Boomin,2288216,11/8/2018
11096,Hope,XXXTENTACION,2269359,11/8/2018
11097,Only 1 ,"Metro Boomin, Travis Scott, Travis Scott",2241541,11/8/2018
11098,Consequences - orchestra,Camila Cabello,2228689,11/8/2018
11099,Te Boté - Remix,Nio Garcia,2214525,11/8/2018
11100,Plug Walk,Rich The Kid,2204551,11/8/2018
11101,idontwannabeyouanymore,Billie Eilish,2178252,11/8/2018
11102,No Complaints ,Metro Boomin,2169104,11/8/2018
11103,Close Friends (Lil Baby & Gunna),Lil Baby,2162730,11/8/2018
11104,Congratulations,Post Malone,2160307,11/8/2018
11105,Look At Me!,XXXTENTACION,2146215,11/8/2018
11106,Be Alright,Dean Lewis,2136681,11/8/2018
11107,Waste It On Me ,Steve Aoki,2131194,11/8/2018
11108,the remedy for a broken heart (why am I so in love),XXXTENTACION,2125545,11/8/2018
11109,Saturday Nights,Khalid,2118485,11/8/2018
11110,Killshot,Eminem,2095013,11/8/2018
11111,Lust,Lil Skies,2091812,11/8/2018
11112,Meant to Be,"Bebe Rexha, Florida Georgia Line",2076812,11/8/2018
11113,She Gon Wink,Takeoff,2048382,11/8/2018
11114,I Like Me Better,Lauv,2021726,11/8/2018
11115,goosebumps,Travis Scott,2020857,11/8/2018
11116,Another One Bites The Dust - Remastered 2011,Queen,2013567,11/8/2018
11117,Self Care,Mac Miller,2003287,11/8/2018
11118,Speechless,Dan + Shay,2002433,11/8/2018
11119,Drew Barrymore,Bryce Vine,1999297,11/8/2018
11120,FeRRis WhEEL ,Tory Lanez,1989968,11/8/2018
11121,Taking A Walk,Trippie Redd,1961472,11/8/2018
11122,Sin ,Young Thug,1951782,11/8/2018
11123,Young Dumb & Broke,Khalid,1949531,11/8/2018
11124,Kamikaze,Lil Mosey,1929676,11/8/2018
11125,HUMBLE.,Kendrick Lamar,1926360,11/8/2018
11126,Happy Now,Kygo,1924852,11/8/2018
11127,Murder On My Mind,YNW Melly,1921935,11/8/2018
11128,Nowadays ,Lil Skies,1912040,11/8/2018
11129,Roll In Peace ,Kodak Black,1893755,11/8/2018
11130,Somebody To Love - Remastered 2011,Queen,1883456,11/8/2018
11131,OTW,Khalid,1876444,11/8/2018
11132,Legends,Juice WRLD,1876366,11/8/2018
11133,Mine,Bazzi,1873555,11/8/2018
11134,All I Want for Christmas Is You,Mariah Carey,1867808,11/8/2018
11135,Candy Paint,Post Malone,1866899,11/8/2018
11136,Praise The Lord (Da Shine) ,A$AP Rocky,1848935,11/8/2018
11137,ocean eyes,Billie Eilish,1839502,11/8/2018
11138,Venom - Music From The Motion Picture,Eminem,1839452,11/8/2018
11139,Don't Stop Me Now - Remastered,Queen,1822655,11/8/2018
11140,JAPAN,Famous Dex,1821265,11/8/2018
11141,YEAH RIGHT,Joji,1811414,11/8/2018
11142,The Middle,"Zedd, Maren Morris, Grey",1789385,11/8/2018
11143,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,1782129,11/8/2018
11144,Let You Love Me,Rita Ora,1782064,11/8/2018
11145,Shake It Up,Trippie Redd,1777560,11/8/2018
11146,There's No Way ,Lauv,1772791,11/8/2018
11147,Black & White,Juice WRLD,1760736,11/8/2018
11148,Location,Khalid,1745115,11/8/2018
11149,Tequila,Dan + Shay,1743977,11/8/2018
11150,Jackie Chan,"Tiesto, Dzeko",1718719,11/8/2018
11151,Don't Cry ,Lil Wayne,1713032,11/8/2018
11152,Under Pressure - Remastered,Queen,1691025,11/8/2018
11153,I Love,Joyner Lucas,1689499,11/8/2018
11154,Thunder,Imagine Dragons,1686027,11/8/2018
11155,1999,Charli XCX,1678046,11/8/2018
11156,Let You Down,NF,1675115,11/8/2018
11157,Believer,Imagine Dragons,1657917,11/8/2018
11158,I'm a Mess,Bebe Rexha,1652750,11/8/2018
11159,Bounce Out With That,YBN Nahmir,1646194,11/8/2018
11160,Red Roses ,Lil Skies,1637299,11/8/2018
11161,Walk It Talk It,Migos,1635223,11/8/2018
11162,BUTTERFLY EFFECT,Travis Scott,1625831,11/8/2018
11163,sweetener,Ariana Grande,1622150,11/8/2018
11164,Call Out My Name,The Weeknd,1618785,11/8/2018
11165,Best Part ,H.E.R.,1618453,11/8/2018
11166,TEST DRIVE,Joji,1611059,11/8/2018
11167,PICK IT UP ,Famous Dex,1609774,11/8/2018
11168,POP/STARS,K/DA,1600406,11/8/2018
11169,Get Dripped ,Lil Yachty,1598953,11/8/2018
11170,Heaven,Kane Brown,1586464,11/8/2018
11171,Boo'd Up,Ella Mai,1586382,11/8/2018
11172,Vaina Loca,"Ozuna, Manuel Turizo",1580400,11/8/2018
11173,Yacht Club ,Lil Yachty,1572734,11/8/2018
11174,Beautiful Crazy,Luke Combs,1572172,11/8/2018
11175,Hopeless Romantic ,Wiz Khalifa,1568188,11/8/2018
11176,Bank Account,21 Savage,1564808,11/8/2018
11177,Mob Ties,Drake,1560116,11/8/2018
11178,No Brainer,DJ Khaled,1559843,11/8/2018
11179,You Say,Lauren Daigle,1553157,11/8/2018
11180,bellyache,Billie Eilish,1544743,11/8/2018
11181,The Way Life Goes ,Lil Uzi Vert,1544038,11/8/2018
11182,Ball For Me ,Post Malone,1543398,11/8/2018
11183,I'm Upset,Drake,1539138,11/8/2018
11184,Let It Fly ,Lil Wayne,1520615,11/8/2018
11185,Silence,Marshmello,1518167,11/8/2018
11186,Havana ,Camila Cabello,1513899,11/8/2018
11187,Powerglide,"Rae Sremmurd, Juicy J",1511328,11/8/2018
11188,We Will Rock You - Remastered,Queen,1500969,11/8/2018
11189,1-800-273-8255,Logic,1500683,11/8/2018
11190,you should see me in a crown,Billie Eilish,1498710,11/8/2018
11191,Life Goes On,Lil Baby,1498414,11/8/2018
11192,The Ringer,Eminem,1498203,11/8/2018
11193,Shoota ,Playboi Carti,1482167,11/8/2018
11194,Say Na ,Moneybagg Yo,1481687,11/8/2018
11195,Walk,Comethazine,1481315,11/8/2018
11196,BEBE,6ix9ine,1475283,11/8/2018
11197,Chanel (Go Get It) [feat. Gunna & Lil Baby],Young Thug,1475154,11/8/2018
11198,Say You Won't Let Go,James Arthur,1467599,11/8/2018
11199,rockstar,Post Malone,19553820,9/28/2017
11200,1-800-273-8255,Logic,9578085,9/28/2017
11201,Bodak Yellow,Cardi B,8948749,9/28/2017
11202,Bank Account,21 Savage,8420966,9/28/2017
11203,XO TOUR Llif3,Lil Uzi Vert,6723811,9/28/2017
11204,Young Dumb & Broke,Khalid,6647697,9/28/2017
11205,Jocelyn Flores,XXXTENTACION,6243589,9/28/2017
11206,Too Good At Goodbyes - Edit,Sam Smith,6145840,9/28/2017
11207,Unforgettable,French Montana,6142430,9/28/2017
11208,Silence,Marshmello,6046190,9/28/2017
11209,The Way Life Goes ,Lil Uzi Vert,5974933,9/28/2017
11210,Sorry Not Sorry,Demi Lovato,5954626,9/28/2017
11211,HUMBLE.,Kendrick Lamar,5572710,9/28/2017
11212,Look What You Made Me Do,Taylor Swift,5498093,9/28/2017
11213,Congratulations,Post Malone,5426927,9/28/2017
11214,Havana,Camila Cabello,5290714,9/28/2017
11215,Mi Gente,J Balvin,5113724,9/28/2017
11216,What Lovers Do ,Maroon 5,4988137,9/28/2017
11217,I Get The Bag ,Gucci Mane,4776762,9/28/2017
